"Gene","Basis","basis_index","parameter","estimate","std_error","statistic","p_value","hazard_ratio"
"DDIT3","Basis1",1,"lambda",-0.144692969009963,0.185834908210609,-0.77861027512646,0.43948701573774,NA
"DDIT3","Basis2",2,"lambda",0.12380259171771,0.250376302064743,0.49446609242474,0.622911319854065,NA
"DDIT3","Basis3",3,"lambda",-0.118187804824608,0.215242114499642,-0.549092379525032,0.585124969835656,NA
"DDIT3","Basis4",4,"lambda",0.305273614867575,0.166419762305636,1.8343591568586,0.0719153092404397,NA
"DDIT3","Basis5",5,"lambda",-0.112831059283964,0.0842533428305319,-1.33918792410307,0.185919959020823,NA
"DDIT3","Basis1",1,"beta",-0.236105950733379,1.14734684665192,-0.205784285216246,0.836959417067686,0.789697000523899
"DDIT3","Basis2",2,"beta",-0.183736725783292,0.961689044001666,-0.191056274301253,0.848481504579222,0.83215485990842
"DDIT3","Basis3",3,"beta",0.124743153341675,1.15154217376171,0.108327038456768,0.913736275228027,1.13285744504709
"DDIT3","Basis4",4,"beta",-0.531591094394411,1.26907945222908,-0.418879285659141,0.675304356469529,0.587669188266275
"DDIT3","Basis5",5,"beta",0.954586464799097,1.6582320422897,0.575665190669573,0.564841508006005,2.5975961633284
"EGFR","Basis1",1,"lambda",-0.16204125042988,0.135093972007615,-1.19947062050072,0.235395494119466,NA
"EGFR","Basis2",2,"lambda",0.174754977815806,0.182256117820559,0.958842863030046,0.341759515368911,NA
"EGFR","Basis3",3,"lambda",-0.222232323020971,0.15522667663598,-1.43166321560904,0.157798050548282,NA
"EGFR","Basis4",4,"lambda",0.227713988729524,0.121728507491832,1.87067099910679,0.0666196167033541,NA
"EGFR","Basis5",5,"lambda",-0.0906047516269574,0.0614969032410336,-1.4733221813111,0.14626324533586,NA
"EGFR","Basis1",1,"beta",0.52323400710226,1.11684106496424,0.468494599201556,0.639430932319048,1.68747614455101
"EGFR","Basis2",2,"beta",0.373444298334067,0.943716624243572,0.395716562303221,0.692314135851158,1.45272964182857
"EGFR","Basis3",3,"beta",0.773314281447228,1.09173339347588,0.708336198259118,0.478736503034212,2.16693620206029
"EGFR","Basis4",4,"beta",0.267197546998212,1.19592791084251,0.223422787089211,0.823206470987967,1.30629847618604
"EGFR","Basis5",5,"beta",0.494722853037361,1.59493955677064,0.31018282225005,0.756421932620943,1.64004364295075
"KIT","Basis1",1,"lambda",-0.268843748238537,0.19912915373025,-1.35009737751774,0.182416517896539,NA
"KIT","Basis2",2,"lambda",0.481994675414345,0.264003115045637,1.82571586449283,0.0732267615657727,NA
"KIT","Basis3",3,"lambda",-0.324764839098114,0.229667561177005,-1.41406490944455,0.162878506999467,NA
"KIT","Basis4",4,"lambda",0.0647119523305655,0.185365295041598,0.349105005422096,0.728319777763627,NA
"KIT","Basis5",5,"lambda",-0.0256198307011128,0.0926319411611456,-0.276576636308892,0.783123469896615,NA
"KIT","Basis1",1,"beta",0.381187774363699,1.10042511201844,0.346400468510312,0.729041773061697,1.46402248549186
"KIT","Basis2",2,"beta",0.361731852918963,0.941449501416173,0.384228630823882,0.700808999629419,1.43581388103506
"KIT","Basis3",3,"beta",0.702302460043513,1.09268999537965,0.642728004295034,0.520400606410942,2.01839463449199
"KIT","Basis4",4,"beta",0.195477167404267,1.22660512739841,0.15936438144431,0.873381799722846,1.21589103165685
"KIT","Basis5",5,"beta",0.530389106153494,1.5944389151598,0.332649373463351,0.7393989691412,1.69959350226312
"MDM4","Basis1",1,"lambda",0.117400805968239,0.214667013531525,0.546897280755239,0.586622099047807,NA
"MDM4","Basis2",2,"lambda",0.092564315391534,0.288800436455594,0.320513073067211,0.749772386945293,NA
"MDM4","Basis3",3,"lambda",0.117427945641502,0.248132192630216,0.473247523413868,0.637876202204573,NA
"MDM4","Basis4",4,"lambda",-0.212169459712499,0.195346442885708,-1.08611887976191,0.282079649062126,NA
"MDM4","Basis5",5,"lambda",0.0927719198133708,0.0978202872349785,0.948391406687645,0.34700512231188,NA
"MDM4","Basis1",1,"beta",0.44802066991969,1.12003774042198,0.400004976395614,0.689152851467178,1.56521104810582
"MDM4","Basis2",2,"beta",0.401652737854935,0.952491151310677,0.42168658186718,0.673253799761109,1.49429233140615
"MDM4","Basis3",3,"beta",0.738548738960802,1.09454634550015,0.674753282030579,0.499832526400236,2.09289597106047
"MDM4","Basis4",4,"beta",0.242507566653429,1.21228067954096,0.20004242478339,0.841447401459392,1.27444089237948
"MDM4","Basis5",5,"beta",0.65167367075813,1.58831005213292,0.410293739489344,0.681590484006035,1.9187494980642
"PDGFRA","Basis1",1,"lambda",-0.0126433678651422,0.216426993689659,-0.0584186272220364,0.953623141508338,NA
"PDGFRA","Basis2",2,"lambda",0.0701580233175671,0.290517600138194,0.241493194505924,0.810054986390059,NA
"PDGFRA","Basis3",3,"lambda",-0.142689882589733,0.249278978451489,-0.572410411323556,0.569334995451042,NA
"PDGFRA","Basis4",4,"lambda",0.105719618093715,0.197984899918459,0.533978187918654,0.595470068739136,NA
"PDGFRA","Basis5",5,"lambda",-0.0226102360878472,0.0991036944111936,-0.228147257498136,0.82036278439059,NA
"PDGFRA","Basis1",1,"beta",0.336221799865716,1.12862553761088,0.297903767601647,0.765776612313331,1.39964943244164
"PDGFRA","Basis2",2,"beta",0.30795049449317,0.949538812419404,0.324315857830518,0.745698915150757,1.36063362841242
"PDGFRA","Basis3",3,"beta",0.736176568253538,1.08386966013834,0.679211343695676,0.497003960766,2.08793714845679
"PDGFRA","Basis4",4,"beta",0.263923647799895,1.19798810232898,0.220305733660299,0.825633055041784,1.30202877974367
"PDGFRA","Basis5",5,"beta",0.634062746234429,1.60981198955106,0.393873787964056,0.693674223495211,1.88525435141429
"PIK3CA","Basis1",1,"lambda",0.113781111134581,0.198558947493168,0.573034419103658,0.568915328985193,NA
"PIK3CA","Basis2",2,"lambda",0.0568663588044367,0.267336009879313,0.212714923178918,0.832321757853359,NA
"PIK3CA","Basis3",3,"lambda",0.0557413422725066,0.229910622253587,0.24244787703208,0.809318904522864,NA
"PIK3CA","Basis4",4,"lambda",-0.0973177700962241,0.182165199290493,-0.534228109843498,0.595298311584972,NA
"PIK3CA","Basis5",5,"lambda",0.0418800764714856,0.0910557167731423,0.459939012679746,0.647340805838106,NA
"PIK3CA","Basis1",1,"beta",-0.127414711297368,1.09851008848244,-0.115988658304802,0.907661530485788,0.880368498119383
"PIK3CA","Basis2",2,"beta",-0.238686849003532,0.958994300618981,-0.248892875431556,0.803443646501211,0.787661500740115
"PIK3CA","Basis3",3,"beta",0.30060660163108,1.07100091582201,0.28067819288498,0.778957236211862,1.35067788253139
"PIK3CA","Basis4",4,"beta",-0.0201143766965499,1.16918681208051,-0.0172037321056994,0.986274084840868,0.980086567831789
"PIK3CA","Basis5",5,"beta",0.914769694373504,1.61123644124062,0.567743920730311,0.570208863761751,2.49620029672653
"PTEN","Basis1",1,"lambda",-0.238581517005829,0.175204096302033,-1.36173481123718,0.178734952347199,NA
"PTEN","Basis2",2,"lambda",0.289955955714384,0.236002276183081,1.2286150811929,0.224354455853741,NA
"PTEN","Basis3",3,"lambda",-0.154123038539198,0.204671899664649,-0.753024908606047,0.454589087047527,NA
"PTEN","Basis4",4,"lambda",0.165886874353836,0.161804426011099,1.02523075816515,0.309662680126359,NA
"PTEN","Basis5",5,"lambda",-0.101356544980975,0.0804480535067841,-1.25990052664765,0.212930595255192,NA
"PTEN","Basis1",1,"beta",0.330191724822486,1.12255274975607,0.294143615873942,0.768648163613737,1.39123483714781
"PTEN","Basis2",2,"beta",0.550484114602164,0.965379155801069,0.570225813654919,0.568524550149014,1.73409231410398
"PTEN","Basis3",3,"beta",1.16189894963682,1.12847065745102,1.0296226507664,0.303187178118896,3.19599655385987
"PTEN","Basis4",4,"beta",0.530936880142554,1.21610514457942,0.436587973095184,0.662410186390561,1.7005247504091
"PTEN","Basis5",5,"beta",0.59086600930372,1.58828831945534,0.372014326407905,0.709882182737592,1.80555136281522
