"Gene","Basis","basis_index","term","estimate","std_error","statistic","p_value"
"EGFR","Basis1",1,"(Intercept)",-0.444323027819411,0.271118189767507,-1.63885362395062,0.106850610285849
"EGFR","Basis1",1,"Exposure",-0.16204125042988,0.135093972007615,-1.19947062050072,0.235395494119466
"EGFR","Basis1",1,"Age",-0.00830620684635934,0.00360982953540024,-2.30099697642326,0.0251372687921483
"EGFR","Basis1",1,"Gender",0.333390978469581,0.108451953854627,3.07408918530384,0.00326028007932512
"EGFR","Basis1",1,"Classical",-0.0525528388270528,0.128604531361283,-0.408639091257356,0.684363031059357
"EGFR","Basis1",1,"Mesenchymal",-0.405617402992426,0.159683422399759,-2.54013470463442,0.0138820751080973
"EGFR","Basis1",1,"Neural",-0.438046111683686,0.160997203139932,-2.72083056811213,0.00865967631196753
"EGFR","Basis1",1,"Proneural",-0.343068489944569,0.198793546692234,-1.72575264968584,0.0899064195441742
"EGFR","Basis2",2,"(Intercept)",-0.204625902216223,0.365767235970959,-0.559442951944635,0.578090225376342
"EGFR","Basis2",2,"Exposure",0.174754977815806,0.182256117820559,0.958842863030046,0.341759515368911
"EGFR","Basis2",2,"Age",0.0133165134526554,0.00487004347669158,2.73437260188524,0.00835224494002418
"EGFR","Basis2",2,"Gender",-0.349606084382228,0.146313205436617,-2.38943630097474,0.0202662803464783
"EGFR","Basis2",2,"Classical",0.0704894371504897,0.173501173085047,0.406276429704236,0.68608792387685
"EGFR","Basis2",2,"Mesenchymal",0.584298544072266,0.215429898272886,2.71224444126196,0.00885994293216364
"EGFR","Basis2",2,"Neural",0.599740317127028,0.217202328040202,2.76120575013368,0.00777249408442747
"EGFR","Basis2",2,"Proneural",0.523344479879549,0.268193610192055,1.95136819070663,0.0560221854709728
"EGFR","Basis3",3,"(Intercept)",-0.358598337786642,0.311522231138491,-1.15111636327239,0.254575705277197
"EGFR","Basis3",3,"Exposure",-0.222232323020971,0.15522667663598,-1.43166321560904,0.157798050548282
"EGFR","Basis3",3,"Age",-0.00788536233131122,0.00414779307822111,-1.9010982907308,0.0624396776587198
"EGFR","Basis3",3,"Gender",0.24701472315306,0.124614267545435,1.98223468322355,0.0523680930382724
"EGFR","Basis3",3,"Classical",0.0447415204563763,0.147770131463855,0.302777834824626,0.763181041548164
"EGFR","Basis3",3,"Mesenchymal",-0.356444725367546,0.183480629110356,-1.94268314369665,0.0570888649075372
"EGFR","Basis3",3,"Neural",-0.442540546294539,0.184990199190314,-2.39223779546971,0.0201268383448023
"EGFR","Basis3",3,"Proneural",-0.361035199914071,0.228419233894283,-1.58058143247764,0.119606079839063
"EGFR","Basis4",4,"(Intercept)",0.57338105551455,0.244295227269102,2.34708251128847,0.0224824086179674
"EGFR","Basis4",4,"Exposure",0.227713988729524,0.121728507491832,1.87067099910679,0.0666196167033541
"EGFR","Basis4",4,"Age",0.00406108929477617,0.003252692589566,1.24853154208404,0.217031061676814
"EGFR","Basis4",4,"Gender",-0.236907536440338,0.0977223060445118,-2.42429334744136,0.0185914398782426
"EGFR","Basis4",4,"Classical",-0.0900715370942983,0.115881096888713,-0.777275496285636,0.440267501711913
"EGFR","Basis4",4,"Mesenchymal",0.20202584969475,0.143885211094503,1.40407654239087,0.16581789924993
"EGFR","Basis4",4,"Neural",0.226538099706118,0.14506901349735,1.56158847602736,0.124019011472959
"EGFR","Basis4",4,"Proneural",0.241880455527635,0.179125991916868,1.35033700547429,0.182340132309421
"EGFR","Basis5",5,"(Intercept)",-0.775052298057609,0.123417268996109,-6.27993395382981,5.30720250216031e-08
"EGFR","Basis5",5,"Exposure",-0.0906047516269574,0.0614969032410336,-1.4733221813111,0.14626324533586
"EGFR","Basis5",5,"Age",-0.00105634041959666,0.00164325124471594,-0.642835612018214,0.522954226759848
"EGFR","Basis5",5,"Gender",0.174565274450591,0.0493690370738609,3.53592625656085,0.000823881055653299
"EGFR","Basis5",5,"Classical",-0.00412568568696588,0.0585428076764039,-0.0704729726966745,0.944068280376609
"EGFR","Basis5",5,"Mesenchymal",-0.115464259401403,0.0726904082438376,-1.58843872514902,0.117817803113938
"EGFR","Basis5",5,"Neural",-0.133496136884902,0.0732884619234924,-1.82151642129237,0.0738711631685471
"EGFR","Basis5",5,"Proneural",-0.0980445447937901,0.0904939526479031,-1.08343753284007,0.283257145846302
