"Gene","Basis","basis_index","parameter","estimate","std_error","statistic","p_value","hazard_ratio"
"KIT","Basis1",1,"lambda",-0.268843748238537,0.19912915373025,-1.35009737751774,0.182416517896539,NA
"KIT","Basis2",2,"lambda",0.481994675414345,0.264003115045637,1.82571586449283,0.0732267615657727,NA
"KIT","Basis3",3,"lambda",-0.324764839098114,0.229667561177005,-1.41406490944455,0.162878506999467,NA
"KIT","Basis4",4,"lambda",0.0647119523305655,0.185365295041598,0.349105005422096,0.728319777763627,NA
"KIT","Basis5",5,"lambda",-0.0256198307011128,0.0926319411611456,-0.276576636308892,0.783123469896615,NA
"KIT","Basis1",1,"beta",0.381187774363699,1.10042511201844,0.346400468510312,0.729041773061697,1.46402248549186
"KIT","Basis2",2,"beta",0.361731852918963,0.941449501416173,0.384228630823882,0.700808999629419,1.43581388103506
"KIT","Basis3",3,"beta",0.702302460043513,1.09268999537965,0.642728004295034,0.520400606410942,2.01839463449199
"KIT","Basis4",4,"beta",0.195477167404267,1.22660512739841,0.15936438144431,0.873381799722846,1.21589103165685
"KIT","Basis5",5,"beta",0.530389106153494,1.5944389151598,0.332649373463351,0.7393989691412,1.69959350226312
