"Gene","term","estimate","hazard_ratio","std_error","statistic","p_value"
"MDM4","Exposure",-0.227253030496247,0.796719162538176,0.600717648782555,-0.378302570195514,0.70520583631708
"MDM4","Age",0.029418062567333,1.02985504833603,0.0130947028703939,2.24656205325933,0.0246680296022204
"MDM4","Gender",-0.0711107818411463,0.931358708779751,0.323679159352448,-0.219695274738758,0.826108484979346
"MDM4","Classical",0.535318697474241,1.70799248841675,0.386011767087018,1.38679372785432,0.165504670219699
"MDM4","Mesenchymal",0.729298221515857,2.07362487161266,0.48451910479121,1.50520013412088,0.132272630708009
"MDM4","Neural",0.997434109650754,2.71131595600315,0.531097245069886,1.87806304572245,0.0603725409262181
"MDM4","Proneural",0.74580012348679,2.10812752269564,0.605419038322031,1.2318742495344,0.217996061848532
"MDM4","Basis1",0.44802066991969,1.56521104810582,1.12003774042198,0.400004976395614,0.689152851467178
"MDM4","Basis2",0.401652737854935,1.49429233140615,0.952491151310677,0.42168658186718,0.673253799761109
"MDM4","Basis3",0.738548738960802,2.09289597106047,1.09454634550015,0.674753282030579,0.499832526400236
"MDM4","Basis4",0.242507566653429,1.27444089237948,1.21228067954096,0.20004242478339,0.841447401459392
"MDM4","Basis5",0.65167367075813,1.9187494980642,1.58831005213292,0.410293739489344,0.681590484006035
