"Gene","term","estimate","hazard_ratio","std_error","statistic","p_value"
"PTEN","Exposure",-0.765131047235889,0.465272954244397,0.539376601324367,-1.4185469769308,0.156031133685298
"PTEN","Age",0.0269388249181115,1.02730495537639,0.0128430551983229,2.09754022715944,0.0359457800358839
"PTEN","Gender",-0.0730321899436973,0.929570906709031,0.326326093413186,-0.223801257140739,0.822911951722318
"PTEN","Classical",0.490470059331871,1.63308368579024,0.373820074464377,1.31204847688995,0.189503778597787
"PTEN","Mesenchymal",0.781591126688237,2.18494602710401,0.48248532684502,1.61992724586896,0.105247906300852
"PTEN","Neural",1.22703720270379,3.41110812791447,0.552359363899242,2.22144727309741,0.0263206821978281
"PTEN","Proneural",0.602715677650684,1.82707381275656,0.610636691771074,0.987028270283897,0.323628779784202
"PTEN","Basis1",0.330191724822486,1.39123483714781,1.12255274975607,0.294143615873942,0.768648163613737
"PTEN","Basis2",0.550484114602164,1.73409231410398,0.965379155801069,0.570225813654919,0.568524550149014
"PTEN","Basis3",1.16189894963682,3.19599655385987,1.12847065745102,1.0296226507664,0.303187178118896
"PTEN","Basis4",0.530936880142554,1.7005247504091,1.21610514457942,0.436587973095184,0.662410186390561
"PTEN","Basis5",0.59086600930372,1.80555136281522,1.58828831945534,0.372014326407905,0.709882182737592
