"Gene","direct_effect","direct_effect_hr","direct_bootstrap_se","direct_ci_low","direct_ci_high","direct_p_value","indirect_effect","indirect_effect_hr","indirect_bootstrap_se","indirect_ci_low","indirect_ci_high","indirect_p_value","total_effect","total_effect_hr","total_bootstrap_se","total_ci_low","total_ci_high","total_p_value","bootstrap_attempted","bootstrap_failed","bootstrap_valid","basis_k"
"DDIT3",2.43023891737861,11.3615962385489,0.839234577394336,1.28792358580333,4.28407533287306,0.01,-0.246194715538202,0.781769987340611,0.308386938791883,-1.00759249237912,0.289824186924793,0.3,2.18404420184041,8.8821549475795,0.828770112031664,1.09226195291826,4.26446119948478,0.01,100,0,100,3
"DDIT3",2.47358096610232,11.8648585251296,0.906372832782549,1.02974814007598,4.66497679200263,0.01,-0.273315068312126,0.760853029181093,0.477327125907009,-1.08622527011866,0.571263319444003,0.48,2.20026589779019,9.02741354964994,0.83812444765454,1.12360715597491,4.38829810365443,0.01,100,0,100,5
"DDIT3",2.28905244863497,9.86558510221803,1.24080566707532,0.335941500110555,5.25350455990554,0.02,0.0542734944622229,1.05577331082704,1.02656357673953,-1.58278319589902,2.30092656265763,0.9,2.34332594309719,10.4158214466147,1.06448752360841,1.04640904907692,4.77822727293747,0.01,100,0,100,7
"DDIT3",2.24260996673708,9.41787959084593,1.47473250917856,0.192043269654611,5.97818155056112,0.02,0.261350716761964,1.2986830554886,1.18669319417107,-2.40710773257029,2.67487963779274,0.72,2.50396068349904,12.2308406432635,1.18543033740404,1.49899140385501,5.74873924434152,0.01,100,0,100,9
"EGFR",0.43891607850285,1.55102511757578,0.620420067129815,-0.595635798707412,1.46369328162349,0.5,-0.182801995664363,0.832933063768221,0.222164409826189,-0.71489715162153,0.145145655004422,0.34,0.256114082838487,1.29190010316386,0.568729930022622,-0.742470630568322,1.20854807456699,0.7,100,0,100,3
"EGFR",0.443430612019288,1.5580431019974,0.6995771938349,-0.873892676608151,1.64332674606627,0.58,-0.175359293916711,0.839155463145459,0.284644186759513,-0.819230084787666,0.323602378625859,0.4,0.268071318102577,1.30744038085721,0.61626635355373,-0.858819617365079,1.28288003202085,0.74,100,0,100,5
"EGFR",0.0114412166393471,1.011506917686,0.72745838972468,-1.56553892700677,1.30338608847634,0.82,0.165131304391899,1.17954798837496,0.456816577061239,-0.650561132427586,1.07704740863349,0.66,0.176572521031246,1.19312094998388,0.682062888603337,-1.27491004994378,1.26250288143885,0.7,100,0,100,7
"EGFR",0.140762694795801,1.1511514413415,0.793372273168731,-1.46344535209086,1.7368478242277,0.98,0.0335389383811013,1.03410770942242,0.557122448545163,-1.0043145449478,0.996837052458145,0.86,0.174301633176902,1.19041458020397,0.719644704160877,-1.32441243224543,1.41246783444141,0.74,100,0,100,9
"KIT",-0.220105654403537,0.802434012796594,2.67667741276442,-2.15525171724351,2.49349147643587,0.82,-0.123333499489575,0.883968810249988,0.340550049966412,-0.79309123957302,0.666459818061651,0.5,-0.343439153893112,0.709326639595929,2.64509403700682,-2.34949014807376,2.62672406268226,0.98,100,0,100,3
"KIT",-0.179595174198053,0.835608418797368,2.71872174591283,-2.30389402997137,3.53816272184399,0.8,-0.157149038408767,0.854576684576855,0.545417262883427,-1.06916441723707,0.841084550949587,0.56,-0.33674421260682,0.714091472140363,2.66940031202246,-2.33576993419307,2.72798320751426,0.96,100,0,100,5
"KIT",-0.422177133075691,0.655617897492798,2.85515679947051,-3.88845879191135,3.40657667308704,0.94,-0.140905967390002,0.868570981854171,0.983092140266655,-1.80010354986828,1.80031122057591,0.7,-0.563083100465693,0.569450680946487,2.77972181070285,-3.26727577161929,2.57062028712032,0.84,100,0,100,7
