"Gene","Basis","basis_index","term","estimate","std_error","statistic","p_value"
"KIT","Basis1",1,"(Intercept)",-0.534862826129194,0.257999930982362,-2.07311228376165,0.0427748702407551
"KIT","Basis1",1,"Exposure",-0.268843748238537,0.19912915373025,-1.35009737751774,0.182416517896539
"KIT","Basis1",1,"Age",-0.00772559424779701,0.00359083721642273,-2.15147437273512,0.035766610374316
"KIT","Basis1",1,"Gender",0.310422524001236,0.107356835068108,2.89150219270436,0.00544884632844805
"KIT","Basis1",1,"Classical",-0.112967340043767,0.121644863761663,-0.92866510389705,0.357048393595708
"KIT","Basis1",1,"Mesenchymal",-0.326196053919455,0.147385157012164,-2.21322187750923,0.0309740314277031
"KIT","Basis1",1,"Neural",-0.454126817199179,0.161039302897571,-2.81997505595282,0.00662984375533448
"KIT","Basis1",1,"Proneural",-0.192634152051637,0.190845602975208,-1.00937170701628,0.317137964932521
"KIT","Basis2",2,"(Intercept)",-0.111481706248105,0.342053306534773,-0.325919101257897,0.745700361145156
"KIT","Basis2",2,"Exposure",0.481994675414345,0.264003115045637,1.82571586449283,0.0732267615657727
"KIT","Basis2",2,"Age",0.0125205579671186,0.00476069020029886,2.6299879724021,0.0110052187916002
"KIT","Basis2",2,"Gender",-0.320051865116058,0.14233244278141,-2.24862202082476,0.0284896922015038
"KIT","Basis2",2,"Classical",0.143393097661923,0.161275344974775,0.889119770193955,0.377742216576152
"KIT","Basis2",2,"Mesenchymal",0.493729226869119,0.195401526264764,2.52674191602848,0.0143649716006919
"KIT","Basis2",2,"Neural",0.630382473091188,0.213504034006639,2.9525553276974,0.00459832891764159
"KIT","Basis2",2,"Proneural",0.315097394517298,0.253020879837968,1.24534147031298,0.218192044086702
"KIT","Basis3",3,"(Intercept)",-0.483799057904138,0.297566749130182,-1.62585053376539,0.109596594747897
"KIT","Basis3",3,"Exposure",-0.324764839098114,0.229667561177005,-1.41406490944455,0.162878506999467
"KIT","Basis3",3,"Age",-0.00712792528464272,0.00414152729839154,-1.72108615278499,0.0907562417958687
"KIT","Basis3",3,"Gender",0.216609007507719,0.123821057961082,1.74937131918063,0.0857055220893616
"KIT","Basis3",3,"Classical",-0.0363412990671328,0.14030029589588,-0.259025106362588,0.796565656600234
"KIT","Basis3",3,"Mesenchymal",-0.248646802904393,0.169988115404377,-1.46273051097071,0.149131212350404
"KIT","Basis3",3,"Neural",-0.461551558309726,0.18573625838953,-2.48498361230983,0.015969842832985
"KIT","Basis3",3,"Proneural",-0.165248154698508,0.220113646724209,-0.750740161538259,0.455952145636148
"KIT","Basis4",4,"(Intercept)",0.707949961558032,0.240166908920039,2.94774148837355,0.00466062152612843
"KIT","Basis4",4,"Exposure",0.0647119523305655,0.185365295041598,0.349105005422096,0.728319777763627
"KIT","Basis4",4,"Age",0.00352195027804239,0.00334263761784589,1.05364406217389,0.296570942173684
"KIT","Basis4",4,"Gender",-0.212428606323339,0.0999363028182698,-2.12564003603007,0.037957172522576
"KIT","Basis4",4,"Classical",-0.0178044088294754,0.113236739267326,-0.157231733664136,0.875627756905974
"KIT","Basis4",4,"Mesenchymal",0.0984312494007287,0.137197856780535,0.717440138720109,0.476084693341646
"KIT","Basis4",4,"Neural",0.227454943698905,0.149908224565345,1.51729462715207,0.134817700543205
"KIT","Basis4",4,"Proneural",0.105481945898925,0.177654305460532,0.593748322763613,0.555071344644539
"KIT","Basis5",5,"(Intercept)",-0.828598708770453,0.120017757212551,-6.90396761291757,4.98667435392827e-09
"KIT","Basis5",5,"Exposure",-0.0256198307011128,0.0926319411611456,-0.276576636308892,0.783123469896615
"KIT","Basis5",5,"Age",-0.000841936692580754,0.00167040443611544,-0.504031643102371,0.616216452111803
"KIT","Basis5",5,"Gender",0.164828588152775,0.0499408140042987,3.30047860530642,0.00168309524348402
"KIT","Basis5",5,"Classical",-0.0328747600348019,0.0565873939171678,-0.580955540785704,0.563601337597472
"KIT","Basis5",5,"Mesenchymal",-0.0742484555229124,0.0685613981510282,-1.08294838677818,0.283472319580281
"KIT","Basis5",5,"Neural",-0.133852053583774,0.0749131051440488,-1.78676418934168,0.079388679154403
"KIT","Basis5",5,"Proneural",-0.0438038985198666,0.0887785556986337,-0.493406298121842,0.62365505096116
