"Gene","Basis","basis_index","parameter","estimate","std_error","statistic","p_value","hazard_ratio"
"MDM4","Basis1",1,"lambda",0.117400805968239,0.214667013531525,0.546897280755239,0.586622099047807,NA
"MDM4","Basis2",2,"lambda",0.092564315391534,0.288800436455594,0.320513073067211,0.749772386945293,NA
"MDM4","Basis3",3,"lambda",0.117427945641502,0.248132192630216,0.473247523413868,0.637876202204573,NA
"MDM4","Basis4",4,"lambda",-0.212169459712499,0.195346442885708,-1.08611887976191,0.282079649062126,NA
"MDM4","Basis5",5,"lambda",0.0927719198133708,0.0978202872349785,0.948391406687645,0.34700512231188,NA
"MDM4","Basis1",1,"beta",0.44802066991969,1.12003774042198,0.400004976395614,0.689152851467178,1.56521104810582
"MDM4","Basis2",2,"beta",0.401652737854935,0.952491151310677,0.42168658186718,0.673253799761109,1.49429233140615
"MDM4","Basis3",3,"beta",0.738548738960802,1.09454634550015,0.674753282030579,0.499832526400236,2.09289597106047
"MDM4","Basis4",4,"beta",0.242507566653429,1.21228067954096,0.20004242478339,0.841447401459392,1.27444089237948
"MDM4","Basis5",5,"beta",0.65167367075813,1.58831005213292,0.410293739489344,0.681590484006035,1.9187494980642
