"Gene","Basis","basis_index","parameter","estimate","std_error","statistic","p_value","hazard_ratio"
"DDIT3","Basis1",1,"lambda",-0.0979565748587776,0.130651650635176,-0.749753825401761,0.456541313389739,NA
"DDIT3","Basis2",2,"lambda",0.141470563071009,0.179664658837352,0.787414530973953,0.434359373304471,NA
"DDIT3","Basis3",3,"lambda",-0.0634925755397455,0.194809719600361,-0.325920984178798,0.745698944120043,NA
"DDIT3","Basis4",4,"lambda",0.0899864405987393,0.212660108196603,0.423146782731567,0.673808828546395,NA
"DDIT3","Basis5",5,"lambda",-0.268853008346362,0.172327450012371,-1.56012874517125,0.124363504192804,NA
"DDIT3","Basis6",6,"lambda",0.183754601561937,0.117169534866406,1.56827968781688,0.122449678233338,NA
"DDIT3","Basis7",7,"lambda",-0.09392438359407,0.0631241571141371,-1.48793089504929,0.142378890362571,NA
"DDIT3","Basis1",1,"beta",-3.17542237336417,1.72924563882538,-1.8363049771929,0.0663125640742114,0.0417764550960689
"DDIT3","Basis2",2,"beta",-4.26804449128057,1.76365311617414,-2.42000223974835,0.0155204115057042,0.0140091514029118
"DDIT3","Basis3",3,"beta",-4.37046462808381,1.57179726632857,-2.78055237892888,0.0054266504618882,0.0126453638117012
"DDIT3","Basis4",4,"beta",-4.46653302444288,1.67640264955431,-2.6643557415221,0.00771359425350261,0.0114870722922375
"DDIT3","Basis5",5,"beta",-3.19044805489512,1.56646776972385,-2.03671477738579,0.0416786327956158,0.0411534278128274
"DDIT3","Basis6",6,"beta",-0.810878977698511,2.2748425190377,-0.356454994538051,0.72149985062763,0.444467217702459
"DDIT3","Basis7",7,"beta",2.52650908543555,2.71773345726669,0.929638290568986,0.352558395059863,12.5097593218839
