"Gene","Basis","basis_index","parameter","estimate","std_error","statistic","p_value","hazard_ratio"
"EGFR","Basis1",1,"lambda",-0.124806289819458,0.0946955161500812,-1.31797465068626,0.192878218479639,NA
"EGFR","Basis2",2,"lambda",0.12202599617554,0.131282886626799,0.92948897842585,0.356625206218796,NA
"EGFR","Basis3",3,"lambda",-0.135985299708198,0.141630077834875,-0.960144213623477,0.341110031303389,NA
"EGFR","Basis4",4,"lambda",0.193817177468825,0.153810767832627,1.26010148834139,0.212858634296001,NA
"EGFR","Basis5",5,"lambda",-0.230335492751218,0.125177019511323,-1.84007810419533,0.0710584752232003,NA
"EGFR","Basis6",6,"lambda",0.15016820057565,0.0853375593959564,1.75969645298721,0.0839209122654588,NA
"EGFR","Basis7",7,"lambda",-0.0653459827844923,0.0463136074337877,-1.4109456465449,0.163792083656408,NA
"EGFR","Basis1",1,"beta",-2.90305930613671,1.71804343503008,-1.68974732940083,0.0910763042848241,0.0548551444101453
"EGFR","Basis2",2,"beta",-4.6959237277936,1.88803680219232,-2.48719925498319,0.0128753263491061,0.00913242759327213
"EGFR","Basis3",3,"beta",-5.29586147975845,1.73382977302798,-3.05442988818314,0.00225488713302592,0.005012294524749
"EGFR","Basis4",4,"beta",-5.92313311213776,1.79990452180445,-3.29080406231751,0.00099901471031882,0.00267680030942193
"EGFR","Basis5",5,"beta",-4.46887647776138,1.59179553165823,-2.8074437884029,0.00499363941725787,0.0114601843921289
"EGFR","Basis6",6,"beta",-0.770195934237063,2.24963990830557,-0.342364096313163,0.732076904673811,0.462922357085946
"EGFR","Basis7",7,"beta",1.6833518784634,2.79085973325264,0.603166063276679,0.546398221532992,5.38357083758063
