"Gene","Basis","basis_index","parameter","estimate","std_error","statistic","p_value","hazard_ratio"
"KIT","Basis1",1,"lambda",-0.173958172957289,0.140290043075374,-1.2399894471757,0.22015012341644,NA
"KIT","Basis2",2,"lambda",0.282253929173463,0.191979305767701,1.47023101289364,0.147095744742552,NA
"KIT","Basis3",3,"lambda",-0.405623050401538,0.204102330200826,-1.98735139379558,0.0517825640344496,NA
"KIT","Basis4",4,"lambda",0.347272066480577,0.225960811038039,1.53686856090332,0.129956916214601,NA
"KIT","Basis5",5,"lambda",-0.132833246376003,0.189813613356029,-0.699808849467772,0.486943698243361,NA
"KIT","Basis6",6,"lambda",0.0476665603303037,0.129493601663609,0.368099734024922,0.714186644495767,NA
"KIT","Basis7",7,"lambda",-0.0123514033245831,0.0696815994161371,-0.177254876869585,0.859947764565766,NA
"KIT","Basis1",1,"beta",-2.98661722835738,1.6743609668804,-1.78373557878736,0.0744666419339414,0.0504578356864186
"KIT","Basis2",2,"beta",-4.93371167862357,1.903233165906,-2.59227916316547,0.00953423708488953,0.00719973054026561
"KIT","Basis3",3,"beta",-5.59240250649862,1.77703566739873,-3.14704010116179,0.00164932339960514,0.0037260652067037
"KIT","Basis4",4,"beta",-5.9466458695047,1.76252793519704,-3.37392999608819,0.000741032101297874,0.00261459552206161
"KIT","Basis5",5,"beta",-4.41904260914576,1.55690925515802,-2.83834307908796,0.00453484111470828,0.0120457592656835
"KIT","Basis6",6,"beta",-0.803694812294313,2.2367523222907,-0.359313279474427,0.719360741182795,0.447671841200676
"KIT","Basis7",7,"beta",1.6097530743865,2.77601348350382,0.579879414834364,0.561995938439407,5.00157605810572
