"Gene","term","estimate","hazard_ratio","std_error","statistic","p_value"
"PDGFRA","Exposure",-0.00728766837907176,0.992738822285342,0.648438037378718,-0.0112388045718783,0.99103292012368
"PDGFRA","Age",0.0348314655474322,1.03544518590591,0.0141385090524319,2.4635883046976,0.0137554007418888
"PDGFRA","Gender",0.00931087494536984,1.00935435598556,0.333535922368241,0.0279156586170953,0.977729419540159
"PDGFRA","Classical",0.602435054963864,1.82656116632768,0.397008592473744,1.51743580966376,0.129156688563504
"PDGFRA","Mesenchymal",0.630669377863187,1.87886783096307,0.497105601133305,1.26868290444803,0.20455418216541
"PDGFRA","Neural",1.04351779560365,2.83918714769043,0.547268875225931,1.90677351269584,0.0565499227168581
"PDGFRA","Proneural",0.858602093873149,2.35985952479303,0.678090662543962,1.26620545201429,0.20543953610491
"PDGFRA","Basis1",-2.91067986511587,0.0544387063077305,1.67966882704884,-1.73288913757475,0.0831153753264088
"PDGFRA","Basis2",-4.70536430423867,0.00904661789626207,1.87044850598236,-2.51563423916202,0.0118818419350247
"PDGFRA","Basis3",-5.30712518715721,0.00495615427305669,1.71838033593351,-3.08844618166218,0.00201206133367811
"PDGFRA","Basis4",-5.93445647094471,0.002646660900768,1.76605177598061,-3.36029585975731,0.000778590459029436
"PDGFRA","Basis5",-4.47962176961408,0.0113377006066698,1.56636324808924,-2.85988692283138,0.00423792088312363
"PDGFRA","Basis6",-0.771092130071044,0.46250767384452,2.2548622586708,-0.341968617863864,0.732374509354096
"PDGFRA","Basis7",1.68543757821905,5.39481106775904,2.81927372165593,0.597826867704455,0.549955461254753
