"Gene","Basis","basis_index","parameter","estimate","std_error","statistic","p_value","hazard_ratio"
"PIK3CA","Basis1",1,"lambda",0.117802086226364,0.139063286148906,0.847111336778163,0.400538915597565,NA
"PIK3CA","Basis2",2,"lambda",-0.012975568256382,0.192543857941981,-0.0673901956420337,0.946511109699126,NA
"PIK3CA","Basis3",3,"lambda",-0.057110053264463,0.207693430562557,-0.274972843916031,0.78434907776518,NA
"PIK3CA","Basis4",4,"lambda",-0.0380909941359619,0.226967490875306,-0.167825770946592,0.867324973452974,NA
"PIK3CA","Basis5",5,"lambda",0.0796595251989124,0.187321130283021,0.425256483764303,0.672279456330201,NA
"PIK3CA","Basis6",6,"lambda",-0.0694563602230049,0.127259393674171,-0.54578572329865,0.58738091237942,NA
"PIK3CA","Basis7",7,"lambda",0.0298952820798471,0.0684811380008688,0.43654768236281,0.664117988932485,NA
"PIK3CA","Basis1",1,"beta",-3.7886143132333,1.71808023366094,-2.20514399677388,0.0274439915743356,0.022626933980838
"PIK3CA","Basis2",2,"beta",-5.25859672898419,1.9075328559314,-2.7567528981914,0.00583784493425034,0.00520260025684672
"PIK3CA","Basis3",3,"beta",-5.15515826188983,1.70806866149097,-3.01812121380992,0.00254347147429947,0.00576956690027734
"PIK3CA","Basis4",4,"beta",-5.71497548360416,1.74169406928316,-3.28127401039857,0.0010333929877703,0.00329623133237592
"PIK3CA","Basis5",5,"beta",-4.44914577320817,1.53894136173458,-2.891043079246,0.00383965483468556,0.0116885473773504
"PIK3CA","Basis6",6,"beta",-0.868898913096244,2.27850509445741,-0.381346047989925,0.702946489083074,0.419413105371894
"PIK3CA","Basis7",7,"beta",2.25668260536354,2.72622793105354,0.827767399658124,0.407802240469585,9.55135095136146
