"Gene","Basis","basis_index","term","estimate","std_error","statistic","p_value"
"DDIT3","Basis1",1,"(Intercept)",-0.621559774608231,0.148531374270936,-4.18470358642506,0.00010169989808868
"DDIT3","Basis1",1,"Exposure",-0.0794045873744252,0.105565638337393,-0.752182136394082,0.455091602343312
"DDIT3","Basis1",1,"Age",-0.00330856262789335,0.0020900134242428,-1.58303415160695,0.119045524820317
"DDIT3","Basis1",1,"Gender",0.190072687250071,0.0621578061882731,3.05790533652924,0.00341460739650085
"DDIT3","Basis1",1,"Classical",-0.0520784338284693,0.0696880995471236,-0.747307419299811,0.458004519377215
"DDIT3","Basis1",1,"Mesenchymal",-0.164800523289179,0.0845680798695586,-1.94873199844876,0.0563441410172466
"DDIT3","Basis1",1,"Neural",-0.23382718193257,0.0925537493217549,-2.52639340541128,0.0143777383367379
"DDIT3","Basis1",1,"Proneural",-0.0887344429537724,0.109941936652349,-0.807102782210968,0.423022082347876
"DDIT3","Basis2",2,"(Intercept)",0.0658317334390093,0.208800588537798,0.315285191004584,0.753717051439402
"DDIT3","Basis2",2,"Exposure",0.111685169097593,0.148400750497392,0.752591673042486,0.454847369993283
"DDIT3","Basis2",2,"Age",0.0065320285350375,0.00293807308506932,2.22323555129787,0.0302526025567787
"DDIT3","Basis2",2,"Gender",-0.209597054136345,0.0873794279359157,-2.39870023285188,0.0198084499368442
"DDIT3","Basis2",2,"Classical",0.0871813285616808,0.0979652701050063,0.889920769556737,0.377315664166307
"DDIT3","Basis2",2,"Mesenchymal",0.26846098623403,0.118883063830444,2.25819370383085,0.0278489719406252
"DDIT3","Basis2",2,"Neural",0.326207506431816,0.130109058942059,2.5071851958985,0.0150974685707322
"DDIT3","Basis2",2,"Proneural",0.199721946818757,0.154552808729297,1.29225698620964,0.20157534944019
"DDIT3","Basis3",3,"(Intercept)",-0.0367639588032405,0.223865159559888,-0.164223673194692,0.870146380427155
"DDIT3","Basis3",3,"Exposure",-0.124110922664949,0.159107586437151,-0.780044028346653,0.438649565830122
"DDIT3","Basis3",3,"Age",-0.00803881320495934,0.00315004955011699,-2.55196404915624,0.0134678422437411
"DDIT3","Basis3",3,"Gender",0.231846761985919,0.0936836898502535,2.47478256200742,0.0163857313189065
"DDIT3","Basis3",3,"Classical",-0.0813752314433931,0.105033280686441,-0.774756638196655,0.441742577017024
"DDIT3","Basis3",3,"Mesenchymal",-0.344326346248394,0.127460254014336,-2.70144092298502,0.00911796263255495
"DDIT3","Basis3",3,"Neural",-0.356061058610795,0.139496183627749,-2.5524788517581,0.0134500725085172
"DDIT3","Basis3",3,"Proneural",-0.24143806275676,0.165703504137152,-1.45704862437261,0.150687794774806
"DDIT3","Basis4",4,"(Intercept)",0.0163273388091377,0.236189203280766,0.0691282183196531,0.945133814763207
"DDIT3","Basis4",4,"Exposure",0.0180226109365609,0.167866648612926,0.107362666053566,0.914884996491601
"DDIT3","Basis4",4,"Age",0.0080439912809232,0.0033234635304563,2.42036393876686,0.0187738169005453
"DDIT3","Basis4",4,"Gender",-0.211849959150819,0.0988410885804424,-2.14333899184451,0.0364441786212103
"DDIT3","Basis4",4,"Classical",0.0919020662114262,0.110815487912755,0.829325105564493,0.410441661464221
"DDIT3","Basis4",4,"Mesenchymal",0.32698190829817,0.134477092839257,2.43150637327516,0.0182607975955798
