"Gene","Basis","basis_index","parameter","estimate","std_error","statistic","p_value","hazard_ratio"
"PDGFRA","Basis1",1,"lambda",-0.0107945272155349,0.122895159537058,-0.0878352512515346,0.930320967132202,NA
"PDGFRA","Basis2",2,"lambda",-0.00373751338347461,0.172774148768236,-0.021632364622373,0.982818112596864,NA
"PDGFRA","Basis3",3,"lambda",-0.0375924066614679,0.18524102948694,-0.202937798205868,0.839919211436465,NA
"PDGFRA","Basis4",4,"lambda",0.0421423008427411,0.194395496095157,0.216786405494253,0.829162648816231,NA
"PDGFRA","Basis5",5,"lambda",-0.0959700606948702,0.202858448716126,-0.473088803065667,0.637988726881269,NA
"PDGFRA","Basis6",6,"lambda",0.130024861639929,0.212247636810342,0.612609231339124,0.542614566477078,NA
"PDGFRA","Basis7",7,"lambda",-0.0876738315289569,0.15843437150311,-0.553376333034122,0.582208436425326,NA
"PDGFRA","Basis8",8,"lambda",0.0125681366488919,0.117315637895103,0.107130957768218,0.915067975374592,NA
"PDGFRA","Basis9",9,"lambda",-0.0500363531313462,0.0578126781795429,-0.865491008320933,0.390462115619997,NA
"PDGFRA","Basis1",1,"beta",-4.67909082586864,2.00698741511447,-2.33140018249779,0.0197322679222786,0.00928745396262324
"PDGFRA","Basis2",2,"beta",-7.37332124751054,2.43751804095517,-3.02492991790174,0.00248690745599569,0.000627779701071778
"PDGFRA","Basis3",3,"beta",-8.27711786988961,2.70300132089494,-3.06219527378889,0.0021972006370525,0.000254268981270867
"PDGFRA","Basis4",4,"beta",-5.60110870257296,3.16343409390836,-1.77057859791,0.0766308035431362,0.0036937661573729
"PDGFRA","Basis5",5,"beta",-1.66737583193534,3.25669725039681,-0.511983676631956,0.608662433819356,0.188741706302928
"PDGFRA","Basis6",6,"beta",-2.47400172699629,2.80450832857709,-0.882151677635246,0.377694789395387,0.0842470498486249
"PDGFRA","Basis7",7,"beta",-5.16879570258092,3.78784828254505,-1.36457305494507,0.172387278422348,0.00569141885468926
"PDGFRA","Basis8",8,"beta",-3.82264275188182,3.23636258802438,-1.18115404189471,0.23754153464934,0.0218699276631622
"PDGFRA","Basis9",9,"beta",2.3824029375542,3.48264017324252,0.684079554315844,0.4939249317274,10.8308975901363
