"Gene","Basis","basis_index","term","estimate","std_error","statistic","p_value"
"PDGFRA","Basis1",1,"(Intercept)",-0.614551107653235,0.149788120892681,-4.10280270551991,0.000133633918975818
"PDGFRA","Basis1",1,"Exposure",-0.0107945272155349,0.122895159537058,-0.0878352512515346,0.930320967132202
"PDGFRA","Basis1",1,"Age",-0.00354280069132842,0.00210733793897204,-1.68117349657578,0.0982990281762047
"PDGFRA","Basis1",1,"Gender",0.195988779213217,0.0621298097806011,3.1545047362178,0.00258561706915769
"PDGFRA","Basis1",1,"Classical",-0.0518101822217444,0.0700487377147254,-0.739630490312933,0.462613626353632
"PDGFRA","Basis1",1,"Mesenchymal",-0.164603829297362,0.08500783264724,-1.93633720765972,0.057879186552831
"PDGFRA","Basis1",1,"Neural",-0.241457858363687,0.0931245707620295,-2.59284801409402,0.01212113247901
"PDGFRA","Basis1",1,"Proneural",-0.104239191217687,0.12778167156406,-0.815760115999343,0.418093675626797
"PDGFRA","Basis2",2,"(Intercept)",0.0533806715146396,0.210582053681479,0.253491076667825,0.800817101026508
"PDGFRA","Basis2",2,"Exposure",-0.00373751338347461,0.172774148768236,-0.021632364622373,0.982818112596864
"PDGFRA","Basis2",2,"Age",0.00692279839160198,0.00296263514319385,2.33670298804966,0.0230574936291895
"PDGFRA","Basis2",2,"Gender",-0.218779760275743,0.0873461984866776,-2.50474278292847,0.015191283770871
"PDGFRA","Basis2",2,"Classical",0.0870239785861891,0.098479151469767,0.883679208110413,0.380647522512488
"PDGFRA","Basis2",2,"Mesenchymal",0.26846457479114,0.119509637154023,2.24638431832193,0.0286413496234858
"PDGFRA","Basis2",2,"Neural",0.335386716039219,0.130920684780635,2.56175497860539,0.0131335075409674
"PDGFRA","Basis2",2,"Proneural",0.232372947916719,0.179643930776667,1.29351961356048,0.201141612037842
"PDGFRA","Basis3",3,"(Intercept)",-0.0286491130347013,0.225777042998244,-0.12689116951064,0.899481064733051
"PDGFRA","Basis3",3,"Exposure",-0.0375924066614679,0.18524102948694,-0.202937798205868,0.839919211436465
"PDGFRA","Basis3",3,"Age",-0.00833779324057984,0.00317641028957169,-2.62491066344711,0.0111520322626231
"PDGFRA","Basis3",3,"Gender",0.240150240669225,0.093648846455306,2.56436944777357,0.0130455142264335
