"Gene","Basis","basis_index","term","estimate","std_error","statistic","p_value"
"PIK3CA","Basis1",1,"(Intercept)",-0.603673460930206,0.147991680543895,-4.07910403281862,0.000144556948250683
"PIK3CA","Basis1",1,"Exposure",0.106663771782985,0.112181567468839,0.950813704868345,0.345784704497922
"PIK3CA","Basis1",1,"Age",-0.00379534837834486,0.00206572299697603,-1.83729782933181,0.0714739469203977
"PIK3CA","Basis1",1,"Gender",0.185943026410193,0.0623803474929522,2.98079497603314,0.0042482234393272
"PIK3CA","Basis1",1,"Classical",-0.0436729366581145,0.0700217482402801,-0.623705316643203,0.535353524326066
"PIK3CA","Basis1",1,"Mesenchymal",-0.171277996408447,0.0845942295410757,-2.02470070757346,0.047676516182347
"PIK3CA","Basis1",1,"Neural",-0.239778747738893,0.0918479845758786,-2.6106043463676,0.0115753660668737
"PIK3CA","Basis1",1,"Proneural",-0.105040221955268,0.105928290048993,-0.991616327486134,0.325650174330118
"PIK3CA","Basis2",2,"(Intercept)",0.048798914321783,0.209467804960981,0.23296617984264,0.816637087148224
"PIK3CA","Basis2",2,"Exposure",-0.0578138174203764,0.158782078887267,-0.3641079511336,0.717148603175157
"PIK3CA","Basis2",2,"Age",0.00702861565195356,0.00292382963855626,2.40390738204028,0.0195551996259465
"PIK3CA","Basis2",2,"Gender",-0.21289816888123,0.0882933041508123,-2.41126063781215,0.0192025193211826
"PIK3CA","Basis2",2,"Classical",0.0825019674838015,0.099108962405975,0.832437001467667,0.408698362868498
"PIK3CA","Basis2",2,"Mesenchymal",0.271940080845981,0.119734889888481,2.27118495786199,0.0269997688994106
"PIK3CA","Basis2",2,"Neural",0.335263924110366,0.130001873405938,2.57891609810488,0.0125656324759425
"PIK3CA","Basis2",2,"Proneural",0.227312138838632,0.149931173957117,1.51610991122932,0.135116471698142
"PIK3CA","Basis3",3,"(Intercept)",-0.0268569411435979,0.224829313002655,-0.119454802333897,0.905342558800765
"PIK3CA","Basis3",3,"Exposure",-0.0381347764117274,0.170426504063512,-0.223760832396796,0.823757726695985
"PIK3CA","Basis3",3,"Age",-0.00838181449882755,0.00313825128924159,-2.67085511206885,0.00988623814931468
"PIK3CA","Basis3",3,"Gender",0.245629309103445,0.094768372250138,2.59189118976439,0.0121511963551221
"PIK3CA","Basis3",3,"Classical",-0.0841062111782056,0.106377206436531,-0.790641284873249,0.432489018384738
"PIK3CA","Basis3",3,"Mesenchymal",-0.341939808941847,0.128515754681681,-2.66068397441848,0.0101545633073369
"PIK3CA","Basis3",3,"Neural",-0.366885984811795,0.139535676579795,-2.6293346175305,0.0110240115810005
"PIK3CA","Basis3",3,"Proneural",-0.277266815029058,0.160926510137151,-1.7229405819635,0.090417737971441
"PIK3CA","Basis4",4,"(Intercept)",0.0175639689615589,0.235973041190459,0.0744320998405179,0.9409318162492
"PIK3CA","Basis4",4,"Exposure",0.0359003112385823,0.178873741712007,0.200701963826435,0.8416587799633
"PIK3CA","Basis4",4,"Age",0.00803186662357225,0.00329379959780187,2.43848066194809,0.0179461356472664
"PIK3CA","Basis4",4,"Gender",-0.216850886280848,0.0994655932977497,-2.18015978280757,0.0334647614702073
"PIK3CA","Basis4",4,"Classical",0.0946506895651709,0.111649822618446,0.847745991398768,0.400188307337855
"PIK3CA","Basis4",4,"Mesenchymal",0.324781013003828,0.134885674239307,2.4078243656003,0.0193666147255413
"PIK3CA","Basis4",4,"Neural",0.415482634573061,0.146451801668378,2.83699230627337,0.00632917511946817
"PIK3CA","Basis4",4,"Proneural",0.27542922738352,0.168902877912464,1.63069588148915,0.10856673400231
"PIK3CA","Basis5",5,"(Intercept)",-0.152391200701884,0.246710648705574,-0.617692027082903,0.539282244529045
"PIK3CA","Basis5",5,"Exposure",0.013929602232983,0.187013129260577,0.0744846219517245,0.940890213865715
"PIK3CA","Basis5",5,"Age",-0.00757288997647922,0.0034436791227519,-2.19906957255286,0.0320194730787767
"PIK3CA","Basis5",5,"Gender",0.184607783802278,0.103991629393658,1.77521772549066,0.081296404969948
"PIK3CA","Basis5",5,"Classical",-0.0433387548166996,0.11673028421847,-0.371272588830398,0.711835489854729
"PIK3CA","Basis5",5,"Mesenchymal",-0.27200139779148,0.141023449224477,-1.92876716097417,0.0588341544102726
"PIK3CA","Basis5",5,"Neural",-0.395690246510073,0.153115876336667,-2.58425354690221,0.0123936178088345
"PIK3CA","Basis5",5,"Proneural",-0.247544055127324,0.176588555912154,-1.40181255715386,0.166489811668072
"PIK3CA","Basis6",6,"(Intercept)",0.435590838406824,0.25822857994177,1.68684209356319,0.0971974075969505
"PIK3CA","Basis6",6,"Exposure",-0.0659040167971843,0.195744022614352,-0.336684696252646,0.73761310223166
"PIK3CA","Basis6",6,"Age",0.00584770860290215,0.00360445069683469,1.62235777230561,0.110343875774911
"PIK3CA","Basis6",6,"Gender",-0.188544044328714,0.108846581714446,-1.73219995850077,0.0887431235526579
"PIK3CA","Basis6",6,"Classical",-0.00848401483710107,0.122179953269499,-0.0694386813063139,0.94488780617887
"PIK3CA","Basis6",6,"Mesenchymal",0.18727200413282,0.14760726876928,1.26871803600362,0.209790135537856
"PIK3CA","Basis6",6,"Neural",0.319130884278936,0.160264242830245,1.99127939360101,0.0513368895318286
"PIK3CA","Basis6",6,"Proneural",0.180061501136898,0.184832767723712,0.974186035054426,0.334153641422868
"PIK3CA","Basis7",7,"(Intercept)",-0.621634409290595,0.192411226457998,-3.23075955979259,0.00206892178953055
"PIK3CA","Basis7",7,"Exposure",0.0723998527721521,0.145852745933632,0.496390056345572,0.621562150590538
"PIK3CA","Basis7",7,"Age",-0.00322143350746541,0.00268574756303791,-1.19945506115309,0.235401492278165
"PIK3CA","Basis7",7,"Gender",0.178257682139779,0.0811037426150115,2.19789711784257,0.0321074606151834
"PIK3CA","Basis7",7,"Classical",0.0135814099573603,0.0910387016900545,0.149182816815631,0.881945336393455
"PIK3CA","Basis7",7,"Mesenchymal",-0.100148219862663,0.109985097793656,-0.910561720375535,0.366429184206255
"PIK3CA","Basis7",7,"Neural",-0.206429968717187,0.119416059706805,-1.72866169947344,0.0893799845105696
"PIK3CA","Basis7",7,"Proneural",-0.103704439374652,0.137722553930185,-0.752995325857975,0.454606720755657
"PIK3CA","Basis8",8,"(Intercept)",0.648076327633286,0.142074670458634,4.56151913315174,2.81312749774872e-05
"PIK3CA","Basis8",8,"Exposure",-0.0556773495988063,0.107696318949098,-0.516984704232296,0.607202775682295
"PIK3CA","Basis8",8,"Age",0.0019240655698411,0.00198313116639784,0.970215990975507,0.336110831131957
"PIK3CA","Basis8",8,"Gender",-0.164823039450313,0.0598862536095571,-2.75226833398056,0.0079613498110124
"PIK3CA","Basis8",8,"Classical",0.0147436393847598,0.0672221355255474,0.219327149747519,0.827192689804697
"PIK3CA","Basis8",8,"Mesenchymal",0.0727590046003592,0.081211979217883,0.895914682797653,0.37413343964536
"PIK3CA","Basis8",8,"Neural",0.145652700612122,0.0881757142898123,1.65184599620477,0.104163071349523
"PIK3CA","Basis8",8,"Proneural",0.0677656198765133,0.101693060350737,0.666374083371976,0.50790813448968
"PIK3CA","Basis9",9,"(Intercept)",-0.611189593667337,0.0705235990856085,-8.66645493979135,6.26842827473529e-12
"PIK3CA","Basis9",9,"Exposure",0.0231216416728366,0.0534587340308023,0.432513827572387,0.667029096960733
"PIK3CA","Basis9",9,"Age",-0.000201111596803301,0.000984394662762476,-0.204299763510428,0.838859940817043
"PIK3CA","Basis9",9,"Gender",0.0899677529003435,0.0297265805837583,3.02650863750872,0.00373365930088808
"PIK3CA","Basis9",9,"Classical",-0.0160679051198136,0.0333679952955615,-0.48153642367454,0.632011752376793
"PIK3CA","Basis9",9,"Mesenchymal",-0.0594517980668844,0.0403123304444216,-1.47477948834663,0.145872056333811
"PIK3CA","Basis9",9,"Neural",-0.0776955415844379,0.0437690174018207,-1.77512647522231,0.0813116323536745
"PIK3CA","Basis9",9,"Proneural",-0.0223466718244258,0.0504788122669063,-0.442694089279834,0.659692319822033
