"Gene","Basis","basis_index","term","estimate","std_error","statistic","p_value"
"PTEN","Basis1",1,"(Intercept)",-0.611924021230476,0.147399012403399,-4.1514797911656,0.000113646067852462
"PTEN","Basis1",1,"Exposure",-0.105491982465798,0.100137528131322,-1.05347100566986,0.29664951186773
"PTEN","Basis1",1,"Age",-0.00348494375374016,0.00205120217289657,-1.69897623929432,0.094873346853972
"PTEN","Basis1",1,"Gender",0.194842710951464,0.0612970473230661,3.17866389101167,0.00241006668115179
"PTEN","Basis1",1,"Classical",-0.0544915589643251,0.0693975491212676,-0.785208694749504,0.4356407207383
"PTEN","Basis1",1,"Mesenchymal",-0.155547884760025,0.0846177245302081,-1.83824234962139,0.0713325733799144
"PTEN","Basis1",1,"Neural",-0.22969740093603,0.0922578632801913,-2.48973250375883,0.0157795049058803
"PTEN","Basis1",1,"Proneural",-0.11517323899922,0.105682189768768,-1.08980746189323,0.280465408483606
"PTEN","Basis2",2,"(Intercept)",0.0513538583981894,0.204154987019114,0.251543492265419,0.802314756589964
"PTEN","Basis2",2,"Exposure",0.2333929780282,0.138695473072959,1.68277286098175,0.0979871796199523
"PTEN","Basis2",2,"Age",0.0067053006028995,0.00284101735929693,2.36017586480319,0.0217752427439728
"PTEN","Basis2",2,"Gender",-0.214986530322631,0.0848994691111109,-2.53224822927068,0.0141646208485
"PTEN","Basis2",2,"Classical",0.0926352348667123,0.0961190682963087,0.963755022896635,0.339312184942487
"PTEN","Basis2",2,"Mesenchymal",0.248019890820258,0.117199770686206,2.11621481311864,0.0387850569643494
"PTEN","Basis2",2,"Neural",0.311635496854117,0.127781744078662,2.43881079493072,0.0179313625181638
"PTEN","Basis2",2,"Proneural",0.240735209900282,0.146375106105507,1.64464584385517,0.105645567515837
"PTEN","Basis3",3,"(Intercept)",-0.0216548260310574,0.221948658511434,-0.0975668254824877,0.922624640450802
"PTEN","Basis3",3,"Exposure",-0.169322308477567,0.150783846329798,-1.12294726921359,0.266251257894036
"PTEN","Basis3",3,"Age",-0.0083105963995499,0.00308863379195638,-2.69070306139656,0.00938122236617567
"PTEN","Basis3",3,"Gender",0.23923353634689,0.0922991084013039,2.59193767405353,0.0121497342299264
"PTEN","Basis3",3,"Classical",-0.0852544764956299,0.10449658162765,-0.815858999095445,0.418037585215246
"PTEN","Basis3",3,"Mesenchymal",-0.32947673596685,0.127414628765428,-2.58586270006264,0.0123421799507925
"PTEN","Basis3",3,"Neural",-0.349148839366615,0.138918902225275,-2.51332852314385,0.0148638101220506
"PTEN","Basis3",3,"Proneural",-0.28296207904723,0.159132818227675,-1.77815036645922,0.0808082848661112
"PTEN","Basis4",4,"(Intercept)",0.012351938341848,0.232605835718002,0.0531024438992271,0.957839267494997
"PTEN","Basis4",4,"Exposure",0.188331147045122,0.158023944922877,1.19178866935031,0.238370426750787
"PTEN","Basis4",4,"Age",0.00793936279351915,0.00323693889038695,2.45273792999227,0.0173180167662047
"PTEN","Basis4",4,"Gender",-0.210380774374749,0.0967309799919591,-2.17490585117857,0.0338763646515767
"PTEN","Basis4",4,"Classical",0.0964325993698157,0.10951413206186,0.880549364308024,0.382325255284133
"PTEN","Basis4",4,"Mesenchymal",0.310520853028961,0.13353262148757,2.32543066682673,0.0236968714119447
"PTEN","Basis4",4,"Neural",0.395802667951287,0.145589288828581,2.71862491489543,0.00871072157883032
"PTEN","Basis4",4,"Proneural",0.282092824615568,0.166773804456684,1.69146962578788,0.0963056374037533
"PTEN","Basis5",5,"(Intercept)",-0.152027327726263,0.244491708160698,-0.62180974917292,0.536590373144464
"PTEN","Basis5",5,"Exposure",-0.146266301885956,0.166098774371791,-0.880598321325099,0.382298976392195
"PTEN","Basis5",5,"Age",-0.00741576127480245,0.00340234249101968,-2.17960457960243,0.0335080485948658
"PTEN","Basis5",5,"Gender",0.183713338859084,0.101673814232951,1.80688941636602,0.0761529472528172
"PTEN","Basis5",5,"Classical",-0.0479615929556101,0.115110169669179,-0.416658172717921,0.678521237051095
