"SNP","Method","ID","alpha","alpha_se","beta","beta_se","p.joint","ide"
"PTEN","hima2_survival_fixed","Mediator91",0.843078837193458,0.412201906896454,-0.16118550097807,0.235673562514644,0.494015935674355,-0.135892084737036
"PTEN","hima2_survival_fixed","Mediator90",0.841180448122086,0.411850082455226,-0.168142794766048,0.236271221032438,0.476680539790846,-0.141438431449804
"PTEN","hima2_survival_fixed","Mediator92",0.839841969343017,0.412052925902615,-0.176584605221685,0.237519647081573,0.457207693349831,-0.148303162605039
"PTEN","hima2_survival_fixed","Mediator89",0.83624212319081,0.411203451863642,-0.144399386764221,0.235837571726116,0.540350392627126,-0.120752849775163
"PTEN","hima2_survival_fixed","Mediator88",0.830107472455899,0.410445547321207,-0.157051347365354,0.237085926864253,0.507699690699007,-0.130369497007248
"PTEN","hima2_survival_fixed","Mediator93",0.830413845530653,0.411315094367337,-0.153850197937241,0.239417771775267,0.520482767352271,-0.127759334504716
"PTEN","hima2_survival_fixed","Mediator87",0.823776565225594,0.409676079449945,-0.145534672591508,0.237719840970076,0.540398245294761,-0.119888052708664
"PTEN","hima2_survival_fixed","Mediator86",0.817469234388796,0.408916802838977,-0.157243480574814,0.23899358469896,0.510576574882271,-0.128541707678123
"PTEN","hima2_survival_fixed","Mediator94",0.815665494479166,0.410106218954646,-0.158245204352068,0.243682370037717,0.516085503735235,-0.129075152856786
"PTEN","hima2_survival_fixed","Mediator85",0.810898638649818,0.408141953184038,-0.126627848054037,0.240371469455643,0.598332026561956,-0.102682349602175
"PTEN","hima2_survival_fixed","Mediator84",0.803601333478765,0.407309716545315,-0.143570166311756,0.24066276589601,0.550800110782303,-0.115373177095895
"PTEN","hima2_survival_fixed","Mediator83",0.795225220019935,0.406390627112401,-0.149728948205196,0.242612944271665,0.5371347868351,-0.11906823577983
"PTEN","hima2_survival_fixed","Mediator95",0.797679504397922,0.408658475252281,-0.15248762420595,0.24842983843695,0.539343801158433,-0.121636252503419
"PTEN","hima2_survival_fixed","Mediator82",0.785695490258661,0.405383043503538,-0.146465918257613,0.243669885367265,0.547784452633749,-0.1150776114516
"PTEN","hima2_survival_fixed","Mediator96",0.778509157550142,0.407182342741171,-0.129836388298347,0.255872105155237,0.61185531743322,-0.101078817273499
