"SNP","Method","ID","alpha","alpha_se","beta","beta_se","p.joint","ide"
"PDGFRA","hima2_survival_fixed","Mediator1022",0.616257721293851,0.505236382934137,-0.170270932403875,0.258178953731473,0.509569991033433,-0.104930776805791
"PDGFRA","hima2_survival_fixed","Mediator1020",0.595226348651838,0.493319211639307,-0.141619720431037,0.256765679308067,0.581255072980474,-0.0842957890892602
"PDGFRA","hima2_survival_fixed","Mediator1019",0.570362651060237,0.50631291561368,-0.184828299749781,0.237453955280089,0.436347780651076,-0.105419159036241
"PDGFRA","hima2_survival_fixed","Mediator1021",0.549158097034145,0.491894829940493,-0.149284818646612,0.269773468246667,0.580009380502084,-0.081980966924061
"PDGFRA","hima2_survival_fixed","Mediator1018",0.443285659122711,0.475830134667151,-0.158955522048364,0.26254456818547,0.544885317079468,-0.0704627033624036
"PDGFRA","hima2_survival_fixed","Mediator1",-0.620466161427124,0.538847604940542,0.272268407464576,0.150007939288603,0.25443201305461,-0.168933333657422
"PDGFRA","hima2_survival_fixed","Mediator796",0.388166684700687,0.503525053558693,-0.121877019729888,0.253388706296571,0.630524767511341,-0.0473085986897509
"PDGFRA","hima2_survival_fixed","Mediator797",0.388541367225165,0.50335963126925,-0.116032433535216,0.255029281485718,0.649125853012468,-0.045083400368236
"PDGFRA","hima2_survival_fixed","Mediator795",0.387626941371473,0.5036939292721,-0.121774734855955,0.254485943137181,0.632285395749605,-0.0472031680085357
"PDGFRA","hima2_survival_fixed","Mediator798",0.388751578859759,0.503197412220323,-0.119700954812593,0.254998322916652,0.638770458523813,-0.0465339351744163
"PDGFRA","hima2_survival_fixed","Mediator794",0.386941612430509,0.503865362495193,-0.122682979369077,0.254324107079008,0.629530115077967,-0.0474711498548494
"PDGFRA","hima2_survival_fixed","Mediator799",0.388788174187076,0.50303818692887,-0.12331404132554,0.255009679559599,0.628693824053453,-0.0479430409785861
"PDGFRA","hima2_survival_fixed","Mediator793",0.386112945862112,0.504040270751851,-0.131129451169003,0.253443665870714,0.604883297651361,-0.0506307786801458
"PDGFRA","hima2_survival_fixed","Mediator800",0.388635907378131,0.502881804985306,-0.118915396595709,0.255321719067904,0.641396404326673,-0.0462147930572038
"PTEN","hima2_survival_fixed","Mediator91",0.843078837193458,0.412201906896454,-0.16118550097807,0.235673562514644,0.494015935674355,-0.135892084737036
"PTEN","hima2_survival_fixed","Mediator90",0.841180448122086,0.411850082455226,-0.168142794766048,0.236271221032438,0.476680539790846,-0.141438431449804
"PTEN","hima2_survival_fixed","Mediator92",0.839841969343017,0.412052925902615,-0.176584605221685,0.237519647081573,0.457207693349831,-0.148303162605039
"PTEN","hima2_survival_fixed","Mediator89",0.83624212319081,0.411203451863642,-0.144399386764221,0.235837571726116,0.540350392627126,-0.120752849775163
"PTEN","hima2_survival_fixed","Mediator88",0.830107472455899,0.410445547321207,-0.157051347365354,0.237085926864253,0.507699690699007,-0.130369497007248
"PTEN","hima2_survival_fixed","Mediator93",0.830413845530653,0.411315094367337,-0.153850197937241,0.239417771775267,0.520482767352271,-0.127759334504716
"PTEN","hima2_survival_fixed","Mediator87",0.823776565225594,0.409676079449945,-0.145534672591508,0.237719840970076,0.540398245294761,-0.119888052708664
"PTEN","hima2_survival_fixed","Mediator86",0.817469234388796,0.408916802838977,-0.157243480574814,0.23899358469896,0.510576574882271,-0.128541707678123
"PTEN","hima2_survival_fixed","Mediator94",0.815665494479166,0.410106218954646,-0.158245204352068,0.243682370037717,0.516085503735235,-0.129075152856786
"PTEN","hima2_survival_fixed","Mediator85",0.810898638649818,0.408141953184038,-0.126627848054037,0.240371469455643,0.598332026561956,-0.102682349602175
"PTEN","hima2_survival_fixed","Mediator84",0.803601333478765,0.407309716545315,-0.143570166311756,0.24066276589601,0.550800110782303,-0.115373177095895
"PTEN","hima2_survival_fixed","Mediator83",0.795225220019935,0.406390627112401,-0.149728948205196,0.242612944271665,0.5371347868351,-0.11906823577983
"PTEN","hima2_survival_fixed","Mediator95",0.797679504397922,0.408658475252281,-0.15248762420595,0.24842983843695,0.539343801158433,-0.121636252503419
"PTEN","hima2_survival_fixed","Mediator82",0.785695490258661,0.405383043503538,-0.146465918257613,0.243669885367265,0.547784452633749,-0.1150776114516
"PTEN","hima2_survival_fixed","Mediator96",0.778509157550142,0.407182342741171,-0.129836388298347,0.255872105155237,0.61185531743322,-0.101078817273499
