"FDR","SNP","n_hits"
0.35,"DDIT3",0
0.35,"EGFR",0
0.35,"KIT",0
0.35,"MDM4",0
0.35,"PDGFRA",0
0.35,"PIK3CA",0
0.35,"PTEN",0
0.4,"DDIT3",0
0.4,"EGFR",0
0.4,"KIT",0
0.4,"MDM4",0
0.4,"PDGFRA",0
0.4,"PIK3CA",0
0.4,"PTEN",0
0.45,"DDIT3",0
0.45,"EGFR",0
0.45,"KIT",0
0.45,"MDM4",0
0.45,"PDGFRA",0
0.45,"PIK3CA",0
0.45,"PTEN",0
0.5,"DDIT3",0
0.5,"EGFR",0
0.5,"KIT",0
0.5,"MDM4",0
0.5,"PDGFRA",0
0.5,"PIK3CA",0
0.5,"PTEN",0
0.6,"DDIT3",0
0.6,"EGFR",0
0.6,"KIT",0
0.6,"MDM4",0
0.6,"PDGFRA",0
0.6,"PIK3CA",0
0.6,"PTEN",0
0.7,"DDIT3",0
0.7,"EGFR",0
0.7,"KIT",0
0.7,"MDM4",0
0.7,"PDGFRA",0
0.7,"PIK3CA",0
0.7,"PTEN",15
0.8,"DDIT3",0
0.8,"EGFR",15
0.8,"KIT",15
0.8,"MDM4",15
0.8,"PDGFRA",15
0.8,"PIK3CA",0
0.8,"PTEN",15
0.9,"DDIT3",15
0.9,"EGFR",15
0.9,"KIT",15
0.9,"MDM4",15
0.9,"PDGFRA",15
0.9,"PIK3CA",14
0.9,"PTEN",15
1,"DDIT3",15
1,"EGFR",15
1,"KIT",15
1,"MDM4",15
1,"PDGFRA",15
1,"PIK3CA",15
1,"PTEN",15
