"variable","role","source","notes"
"RID","identifier","ShapeMA info / SPLS clinical","RID matching key"
"time","survival outcome","SPLS clinical.dat","Observed survival time"
"event","survival outcome","SPLS clinical.dat","1=AD conversion event; 0=censored"
"DX.bl","eligibility","ShapeMA info","Baseline diagnosis; LMCI is the intended MCI cohort"
"M / CC_q","functional mediator","ShapeMA SRVF MAT","333 x 100 x 2; one multivariate shape mediator"
"X_*","exposure","ShapeMA SNP MAT","Four SNPs; additive dosage 0/1/2"
"W_pc2_*","main adjustment set","ShapeMA design MAT + ShapeMA info","Includes PTEDUCAT as education_years"
"W_pc5_*","sensitivity adjustment set","ShapeMA design MAT + ShapeMA info","Includes PTEDUCAT as education_years"
"PTEDUCAT","adjustment variable","ShapeMA info","Education years; included in W_pc2 and W_pc5"
"SITE","candidate center effect","ShapeMA info","56 recruitment sites; consider stratification or center effect"
"ICV","candidate size adjustment","ShapeMA info","Intracranial volume"
"ADAS13/MMSE/CDRSB/FAQ","clinical candidate","ShapeMA info","Baseline cognition/function; causal role requires prespecification"
"FDG/ABETA/PTAU/TAU","biomarker candidate","ShapeMA info","Disease-related biomarkers; missingness and downstream status require review"
"SPLS_clinical_col04:15","raw clinical source fields","SPLS clinical.dat","Repository provides no column names; preserved by original position"
