"SNP_model","term","coefficient","HR_per_unit"
"rs929708","SNP",-0.117951766723508,0.88873891837081
"rs929708","male",-0.306647867521956,0.735909692991017
"rs929708","age_z",-0.0087649635095572,0.991273336801144
"rs929708","handedness",0.188356605589597,1.20726395567104
"rs929708","APOE4",0.550074302344627,1.73338180741508
"rs929708","PC1",0.0270332277585275,1.02740194045991
"rs929708","PC2",0.00745002230247357,1.0074778427634
"rs929708","education_years",-0.0451522850307646,0.955851908811745
"rs929708","FPC01",-5.77128045182888,0.00311576537136903
"rs929708","FPC02",0.297980196730722,1.34713510993606
"rs929708","FPC03",1.30077152000754,3.67212869575462
"rs929708","FPC04",1.16986636719583,3.22156210338465
"rs929708","FPC05",-5.52127022641745,0.00400076283851028
"rs929708","FPC06",-4.09234561026541,0.0167000158532177
"rs929708","FPC07",-5.50809244732243,0.00405383291227902
"rs929708","FPC08",7.63609886003685,2071.64624999539
"rs929708","FPC09",-2.60551842922793,0.0738648335809123
"rs929708","FPC10",4.41469008404685,82.6562204548743
"rs929708","FPC11",-2.22636090745242,0.107920448908227
"rs929708","FPC12",-2.75599575147286,0.0635457124181246
"rs929708","FPC13",-11.9491492169518,6.46473060123155e-06
"rs929708","FPC14",-6.63789474210337,0.00130978177174103
"rs929708","FPC15",2.16856920732841,8.7457617126835
"rs929708","FPC16",-3.4100164178887,0.0330406579135896
"rs929708","FPC17",11.9359857826566,152662.637576029
"rs929708","FPC18",2.1169055158913,8.30539676279743
"rs11719939","SNP",0.0558693857529159,1.05745955543239
"rs11719939","male",-0.336961081424537,0.71393662475845
"rs11719939","age_z",-0.000510652866677668,0.999489477494307
"rs11719939","handedness",0.206754688465934,1.22968087987496
"rs11719939","APOE4",0.548090303887104,1.72994618983981
"rs11719939","PC1",0.0260712329067651,1.02641406032649
"rs11719939","PC2",-0.00835798619703943,0.991676844663429
"rs11719939","education_years",-0.0430665860246903,0.957847608679059
"rs11719939","FPC01",-5.66532060323772,0.00346403701319095
"rs11719939","FPC02",-0.0491626664096452,0.95202625440965
"rs11719939","FPC03",1.0904635751683,2.97565319180483
"rs11719939","FPC04",1.32098417747264,3.74710738179477
"rs11719939","FPC05",-5.26894868788895,0.00514902095662289
"rs11719939","FPC06",-4.43128907824994,0.0118991408583302
"rs11719939","FPC07",-5.68123373755485,0.00340934960498301
"rs11719939","FPC08",7.95401393820923,2846.97964667387
"rs11719939","FPC09",-2.64416142394457,0.0710649221019007
"rs11719939","FPC10",4.57229756260364,96.7661809225564
"rs11719939","FPC11",-1.87249332286321,0.153739860434575
"rs11719939","FPC12",-2.83511306496075,0.0587118872013591
"rs11719939","FPC13",-12.1521039649296,5.27725772764472e-06
"rs11719939","FPC14",-7.05076401887623,0.000866746493589826
"rs11719939","FPC15",1.2826307200757,3.60611393443213
"rs11719939","FPC16",-3.52118567377493,0.0295643606914133
"rs11719939","FPC17",12.9733042891838,430759.103908558
"rs11719939","FPC18",2.27242045045816,9.70285770087213
"rs4639533","SNP",-0.15751794830445,0.854261480925743
"rs4639533","male",-0.334972706603157,0.715357610625268
"rs4639533","age_z",0.00315812065076261,1.00316311276764
"rs4639533","handedness",0.147852522181952,1.15934190653993
"rs4639533","APOE4",0.544280682287502,1.7233682870846
"rs4639533","PC1",0.0340217297916673,1.03460708828034
"rs4639533","PC2",-0.0180251523649681,0.982136328996233
"rs4639533","education_years",-0.04364842195315,0.957290460626435
"rs4639533","FPC01",-5.96591079914528,0.00256470760978061
"rs4639533","FPC02",0.249916626093526,1.28391836693538
"rs4639533","FPC03",1.03096131353933,2.80375983189104
"rs4639533","FPC04",1.45354847952836,4.2782689614725
"rs4639533","FPC05",-5.39441928556882,0.00454185715511969
"rs4639533","FPC06",-4.51406235032337,0.0109538712068811
"rs4639533","FPC07",-5.92342957952494,0.00267600684305244
"rs4639533","FPC08",7.9040792784238,2708.30776650017
"rs4639533","FPC09",-2.74543996686231,0.064220040038515
"rs4639533","FPC10",4.13290719383275,62.3589492206013
"rs4639533","FPC11",-2.19043953272866,0.111867568352386
"rs4639533","FPC12",-2.70163293839149,0.0670958598304659
"rs4639533","FPC13",-12.1410369055318,5.33598582663764e-06
"rs4639533","FPC14",-6.30036637083384,0.00183563213174289
"rs4639533","FPC15",1.97405378963293,7.19980390066919
"rs4639533","FPC16",-3.66224949675992,0.0256746925798555
"rs4639533","FPC17",12.8501262312135,380836.805837439
"rs4639533","FPC18",1.27585982825945,3.58177980196062
"rs2515029","SNP",-0.0285540452846142,0.971849768829418
"rs2515029","male",-0.329756883157549,0.719098537147964
"rs2515029","age_z",0.000435413933283924,1.00043550873969
"rs2515029","handedness",0.205924879656827,1.22866090309983
"rs2515029","APOE4",0.548084003255507,1.72993529012052
"rs2515029","PC1",0.0241834457180618,1.02447823679942
