"SNP_model","parameter","log_HR_coefficient","HR"
"rs929708","SNP",-0.117951766723508,0.88873891837081
"rs929708","male",-0.306647867521956,0.735909692991017
"rs929708","age_z",-0.0087649635095572,0.991273336801144
"rs929708","handedness",0.188356605589597,1.20726395567104
"rs929708","APOE4",0.550074302344627,1.73338180741508
"rs929708","PC1",0.0270332277585275,1.02740194045991
"rs929708","PC2",0.00745002230247357,1.0074778427634
"rs929708","education_years",-0.0451522850307646,0.955851908811745
"rs11719939","SNP",0.0558693857529159,1.05745955543239
"rs11719939","male",-0.336961081424537,0.71393662475845
"rs11719939","age_z",-0.000510652866677668,0.999489477494307
"rs11719939","handedness",0.206754688465934,1.22968087987496
"rs11719939","APOE4",0.548090303887104,1.72994618983981
"rs11719939","PC1",0.0260712329067651,1.02641406032649
"rs11719939","PC2",-0.00835798619703943,0.991676844663429
"rs11719939","education_years",-0.0430665860246903,0.957847608679059
"rs4639533","SNP",-0.15751794830445,0.854261480925743
"rs4639533","male",-0.334972706603157,0.715357610625268
"rs4639533","age_z",0.00315812065076261,1.00316311276764
"rs4639533","handedness",0.147852522181952,1.15934190653993
"rs4639533","APOE4",0.544280682287502,1.7233682870846
"rs4639533","PC1",0.0340217297916673,1.03460708828034
"rs4639533","PC2",-0.0180251523649681,0.982136328996233
"rs4639533","education_years",-0.04364842195315,0.957290460626435
"rs2515029","SNP",-0.0285540452846142,0.971849768829418
"rs2515029","male",-0.329756883157549,0.719098537147964
"rs2515029","age_z",0.000435413933283924,1.00043550873969
"rs2515029","handedness",0.205924879656827,1.22866090309983
"rs2515029","APOE4",0.548084003255507,1.72993529012052
"rs2515029","PC1",0.0241834457180618,1.02447823679942
"rs2515029","PC2",-0.0027395338787364,0.997264215219824
"rs2515029","education_years",-0.0432622659720947,0.957660195446475
